P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
OGLE-2016-BLG-1227L b,Microlensing,OGLE,2020,2020-04-02,250.0,Mass,13.9,,3.4,,,,OGLE-2016-BLG-1227L,,,,265.59713,-33.759778,17h42m23.31s,-33d45m35.2s,,,,0.1,,,,,,4.2409446,17.985612,1.2939289,0.093088409,0.46157701,3.4,3.4,3.4,3.4,,,,Jovian,,17 42 23.31,-33 45 35.20,,,,0.21413342,0,0,,0,Scorpius,Sco,Scorpion
Kepler-276 c,Transit,Kepler,2013,2018-09-25,16.6,Mass,2.9,31.884,0.1994,0.0,86.92,,Kepler-276,,,,293.5682,39.036312,19h34m16.37s,+39d02m10.72s,15.481,1144.86,5779.0,1.1,1.03,0.02,0.4,-0.089,4.46,2.3925171,5.7241379,1.9738407,0.68063471,0.0049288871,0.1994,0.1994,0.1994,0.1994,20.490365,541.98483,,Neptunian,G,19 34 16.37,+39 02 10.72,0.81470428,2.4370462,2.0977833,0.31698039,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-829 b,Transit,Kepler,2016,2019-04-16,5.1,M-R relationship,2.11,6.8833756,0.0678,0.0,89.82,,Kepler-829,,,,282.33283,42.463813,18h49m19.88s,+42d27m49.73s,14.973,1073.76,5698.0,0.98,0.97,0.03,4.68,0.04,4.46,1.5546902,2.4170616,1.1455268,0.54290371,0.0011752483,0.0678,0.0678,0.0678,0.0678,238.52868,1001.1171,1130.6044,Superterran,G,18 49 19.88,+42 27 49.73,1.0964782,2.8272471,1.7563169,0.45955889,0,0,Hot,0,Lyra,Lyr,Lyre
K2-283 b,Transit,K2,2018,2019-09-05,12.2,M-R relationship,3.52,1.921036,0.0291,,,,K2-283,,,,13.194368,9.6929181,00h52m46.65s,+09d41m34.51s,14.364,402.915,5060.0,0.89,0.82,0.28,,-0.524,4.56,1.8616952,3.4659091,0.98463326,0.27972536,0.00069662894,0.0291,0.0291,0.0291,0.0291,353.35726,1104.4682,,Neptunian,K,00 52 46.65,+09 41 34.51,0.29922646,1.4769431,0.56837407,0.44375963,0,0,Hot,0,Pisces,Psc,Fishes
Kepler-477 b,Transit,Kepler,2016,2019-04-16,4.94,M-R relationship,2.07,11.119907,0.0911,0.0,87.75,,Kepler-477,,,,288.06745,42.355305,19h12m16.19s,+42d21m19.10s,13.835,367.0,5240.0,0.87,0.79,-0.04,2.09,-0.372,4.58,1.5448215,2.3864734,1.1528857,0.55694962,0.0016256967,0.0911,0.0911,0.0911,0.0911,51.163853,681.30334,769.42507,Superterran,K,19 12 16.19,+42 21 19.10,0.42461956,1.7593967,0.76850241,0.38614964,0,0,Hot,0,Lyra,Lyr,Lyre
TOI-1260 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,2022-12-17,13.2,Mass,2.76,7.493134,0.0657,0.0,87.97,0.0,TOI-1260,,,K6 V,157.14407,65.854199,10h28m34.58s,+65d51m15.11s,11.922,73.5977,4227.0,0.68,0.67,-0.1,6.7,-0.889,4.57,2.1869176,4.7826087,1.7328292,0.62783668,0.0017661962,0.0657,0.0657,0.0657,0.0657,29.91364,595.75408,,Neptunian,K,10 28 34.58,+65 51 15.11,0.12912193,0.97020557,0.1242103,0.43192361,0,0,Hot,0,Ursa Major,UMa,Big Bear
HD 149143 b,Radial Velocity,Haute-Provence Observatory,2005,2018-09-25,422.7139,Msini,13.6,4.07182,0.053,0.0167,,217.0,HD 149143,HD 149143,HIP 81022,G0,248.21267,2.0844547,16h32m51.04s,+02d05m04.04s,7.89,73.2801,5856.0,1.2,1.44,0.29,4.28,0.35,4.25,5.5751147,31.081904,2.2854341,0.16804663,0.0036815914,0.053007391,0.0521149,0.0538851,0.053001848,797.0927,1353.4874,,Jovian,G,16 32 51.04,+02 05 04.04,2.2387211,4.0398363,2.4649488,0.48438708,0,0,Hot,0,Ophiuchus,Oph,Serpent Holder
HD 99492 b,Radial Velocity,W. M. Keck Observatory,2004,2023-09-19,25.5,Msini,5.44,17.0503,0.12,0.034,,154.3,HD 99492,HD 99492,HIP 55848,K2 V,171.68969,3.0071331,11h26m45.52s,+03d00m25.68s,7.56727,18.2038,4929.0,0.85,0.82,0.3,4.8,-0.475,4.57,2.1650635,4.6875,0.86167279,0.15839573,0.0036028875,0.12006936,0.11592,0.12408,0.12001735,23.274946,559.40675,,Neptunian,K,11 26 45.52,+03 00 25.68,0.33496544,1.5626574,0.44692616,0.44012025,0,0,Hot,0,Leo,Leo,Lion
nu Oph c,Radial Velocity,Okayama Astrophysical Observatory,2012,2023-09-19,7838.3235,Mass,12.0,3180.6,5.829,0.179,90.0,8.54,nu Oph,HD 163917,HIP 88048,K0 III,269.7566,-9.7741342,17h59m01.58s,-09d46m26.88s,3.31216,46.2107,4887.0,2.61,12.24,0.1,0.65,1.895,2.64,25.557653,653.19362,54.432802,4.5360668,0.69063728,5.9223835,4.785609,6.872391,5.8525951,2.3490021,313.45519,,Jovian,K,17 59 01.58,-09 46 26.88,78.523563,23.925651,0.60437434,0.45841332,0,0,Hot,0,Ophiuchus,Oph,Serpent Holder
75 Cet b,Radial Velocity,Okayama Astrophysical Observatory,2012,2023-09-19,787.89662,Msini,13.3,696.62,1.912,0.093,,-157.6,75 Cet,HD 15779,HIP 11791,G3 III,38.03916,-1.0350269,02h32m09.40s,-01d02m06.10s,5.3532,82.9613,4809.0,1.92,10.38,0.1,,1.714,2.69,7.6967751,59.240347,4.4541615,0.33489936,0.128905,1.9202684,1.734184,2.089816,1.914073,14.220357,493.87889,,Jovian,G,02 32 09.40,-01 02 06.10,51.760683,19.425122,0.4771582,0.57339188,0,0,Hot,0,Cetus,Cet,Whale
